07/30/2025-15:47:51.504095  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:47:54.237927  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:47:57.378821  [**] [1:2016149:3] ET INFO Session Traversal Utilities for NAT (STUN Binding Request) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 74.125.247.128:3478
07/30/2025-15:47:57.389520  [**] [1:2016150:3] ET INFO Session Traversal Utilities for NAT (STUN Binding Response) [**] [Classification: Misc activity] [Priority: 3] {UDP} 74.125.247.128:3478 -> 192.168.10.248:62471
07/30/2025-15:47:56.973347  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:47:59.707657  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:48:02.472052  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:48:05.206875  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:48:07.394031  [**] [1:2016149:3] ET INFO Session Traversal Utilities for NAT (STUN Binding Request) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 74.125.247.128:3478
07/30/2025-15:48:07.404774  [**] [1:2016150:3] ET INFO Session Traversal Utilities for NAT (STUN Binding Response) [**] [Classification: Misc activity] [Priority: 3] {UDP} 74.125.247.128:3478 -> 192.168.10.248:62471
07/30/2025-15:48:07.706731  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:48:10.441752  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:48:12.942244  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:48:15.644841  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:48:17.412191  [**] [1:2016149:3] ET INFO Session Traversal Utilities for NAT (STUN Binding Request) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 74.125.247.128:3478
07/30/2025-15:48:17.422776  [**] [1:2016150:3] ET INFO Session Traversal Utilities for NAT (STUN Binding Response) [**] [Classification: Misc activity] [Priority: 3] {UDP} 74.125.247.128:3478 -> 192.168.10.248:62471
07/30/2025-15:48:18.378849  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:48:21.113456  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
07/30/2025-15:48:23.879028  [**] [1:2033078:4] ET INFO Session Traversal Utilities for NAT (STUN Binding Request On Non-Standard High Port) [**] [Classification: Misc activity] [Priority: 3] {UDP} 192.168.10.248:62471 -> 36.239.163.96:53336
